Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"plzeň, magisterská 2, 8, 10, česká republika","Plzeň, Magisterská 2, 8, 10, Česká republika",,2026-12-02,212,Více než 60 dnů,zelená,2026-12-02 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",305,2019,,,,Plzeňský,"2 x 40kVA/3F-60minut, 1 x 4kVA",,,,,,,,,,,,,,"2/26-2,8,10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pan Brindza, DARAMIS, 777 746 460","Plzeň, Magisterská 2, 8, 10",,,
"plzeň, magisterská 4, 6, česká republika","Plzeň, Magisterská 4, 6, Česká republika",,2027-01-08,249,Více než 60 dnů,zelená,2027-01-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",304,2019,,,,Plzeňský,2 x 40kVA/3F-60minut,,,8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tišer 602 365 981,"Plzeň, Magisterská  4, 6",,,
"plzeň, nemocniční 6 a stehlíkova 5, 7, 9, česká republika","Plzeň, Nemocniční 6 a Stehlíkova 5, 7, 9, Česká republika",2024-08-06,2024-08-06,-636,Po termínu,červená,2024-08-06 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",306,2019,ano,ano,,Plzeňský,200 kVA/3f - 60min,,,,,,,,,,6/24,,,,,,"27.2.2025 - posílám dotaz na triumfa - košutka, bude kontaktovat předsedu, tak uvidíme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Kozel, předseda SVJ 603 214 259","Plzeň, Nemocniční 6 a Stehlíkova 5,7,9",,,
"plzeň, otýlie beníškové 16, 18, česká republika","Plzeň, Otýlie Beníškové 16, 18, Česká republika",,2027-01-21,262,Více než 60 dnů,zelená,2027-01-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",307,2020,,,,Plzeňský,ASTIP STRONG 10kVA/3F -45 minut,,,21/27,,,,,,,,,,,,,"06/2022 -proběhlo zaškolení, bude provádět revize sám",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"námi zaškolený pan Ing. Roman Jeníček
mobil 602145580","Plzeň, Otýlie Beníškové 16,18",,,
"plzeň, palackého nám, sylván, parkovací dům, sady pětatřicáníků, česká republika","Plzeň, Palackého nám, Sylván, parkovací dům, sady pětatřicáníků, Česká republika",2026-04-21,2026-08-17,105,Více než 60 dnů,zelená,2026-02-17 (proběhlá); 2026-04-21 (proběhlá); 2026-08-17 (plánovaná); 2026-10-21 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,227,2014,,," p. Schneberger
tel.+420 727 871 445",Plzeňský,"PS 4000/3f, PS 2000/3f-45 minut","Plzeň, Palackého nám, Sylván, parkovací dům - sady pětatřicáníků",,,17/26-2kVA,,21/26-4kva,,,,17/26-2kVA,,21/26-4kva,,,,"2023 -důležité info, svolat hromadnou zkoušku …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
"plzeň, pallova 18, 20, 22, 24, česká republika","Plzeň, Pallova 18, 20, 22, 24, Česká republika",2025-02-02,2025-02-02,-456,Po termínu,červená,2025-02-02 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",308,2019,,,,Plzeňský,"STRONG 2,4, a 2x 5kVA",,,,2/25-2xstop stav 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Tichý 739 064 056,"Plzeň, Pallova 18, 20, 22, 24",,,
"plzeň, pallova 26, mlýnská strouha, vedle hotelu avenue, česká republika","Plzeň, Pallova 26, Mlýnská strouha, vedle hotelu Avenue, Česká republika",2025-09-05,2025-09-05,-241,Po termínu,červená,2025-09-05 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",309,2019,,,,Plzeňský,ASTIP STRONG 5000/3F -10 minut,,,,,,,,,,,5/25,,,,,"Vedle hotelu Avenue, který také revidujeme ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Denisa Kramlová 727 901 661,"Plzeň, Pallova 26, Mlýnská strouha - vedle hotelu Avenue",,,
"plzeň, papírnická 11, senecura seniorcentrum motp a.s., česká republika","Plzeň, Papírnická 11, SeneCura SeniorCentrum MOTP a.s., Česká republika",2025-12-11,2026-06-11,38,30–60 dnů,žlutá,2025-12-11 (proběhlá); 2026-06-11 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,229,2015,,,Bělohlavý 727 844 338,Plzeňský,3xUPS,"Plzeň, Papírnická 11, SeneCura SeniorCentrum MOTP a.s.",,,,,,,11/26,,,,,,11/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"plzeň, plzeňská 61, dps křimice, česká republika","Plzeň, Plzeňská 61, DPS Křimice, Česká republika",2025-10-22,2026-04-22,-12,Po termínu,červená,2025-10-22 (proběhlá); 2026-04-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,228,2018,,,Šindelář jednatel 728 995 491,Plzeňský,"PS 7,5kVA + PS 25kVA","Plzeň, Plzeňská 61, DPS Křimice",,,,,22/26,,,,,,22/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"plzeň, poděbradova 17, česká republika","Plzeň, Poděbradova 17, Česká republika",,2026-10-07,156,Více než 60 dnů,zelená,2026-10-07 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",311,2017,ano,,,Plzeňský,ASTIP PS 40/15kVA/3f-60 minut,,,,,,,,,,,,7/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Fraňková 603 177 508,"Plzeň, Poděbradova 17",,,
"plzeň, poděbradova 8, bd, česká republika","Plzeň, Poděbradova 8, BD, Česká republika",,2026-10-16,165,Více než 60 dnů,zelená,2026-10-16 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",310,2021,,,,Plzeňský,ASTIP STRONG 10kVA/3F-15 minut,,,,,,,,,,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Páník 733 590 134,"Plzeň, Poděbradova 8, BD",,,
"plzeň, průmyslová 2a, škoda electric, česká republika","Plzeň, Průmyslová 2a, Škoda Electric, Česká republika",2025-10-22,2026-04-22,-12,Po termínu,červená,2025-10-22 (proběhlá); 2026-04-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,230,2018,ano,ano,Petr Lavička 702 256 446,Plzeňský,ASTIP PS LiftBack 7 500/3f-45 min,"Plzeň, Průmyslová 2a, Škoda Electric",,,,,22/26,,,,,,22/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"plzeň, rybářská 26, bd, česká republika","Plzeň, Rybářská 26, BD, Česká republika",,2027-01-27,268,Více než 60 dnů,zelená,2027-01-27 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",312,2021,ano,ano,,Plzeňský,ASTIP STRONG 5 000VA/3F-10 minut,,,27/27,,,,,,,,,,,,,"14 dní předem, posalt mailem na sprava@plzenskyservis.cz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kazilovská 720 849 638,"Plzeň, Rybářská 26, BD",,,
"plzeň, sladová 7, česká republika","Plzeň, Sladová 7, Česká republika",,2026-06-03,30,30–60 dnů,žlutá,2026-06-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",314,2017,,,,Plzeňský,ASTIP PS 3000/3F-10 minut,,,,,,,,3/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"SEL, Křivanec 732 538 672","Plzeň, Sladová 7",,,
"plzeň, studentská 2320/59, česká republika","Plzeň, Studentská 2320/59, Česká republika",,2027-01-27,268,Více než 60 dnů,zelená,2027-01-27 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",315,2019,,,,Plzeňský,STRONG 1 000VA/1F -15 minut,,,27/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Walter, předseda SVJ 723 593 453","Plzeň, Studentská 2320_59",,,
"plzeň, technická 5, 7, 9, česká republika","Plzeň, Technická 5, 7, 9, Česká republika",,2027-01-08,249,Více než 60 dnů,zelená,2027-01-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",317,2018,ano,,,Plzeňský,3x záložní zdroj,,,8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tišer 602 365 981,"Plzeň, Technická 5, 7, 9",,,
"plzeň, truhlářská 12, bd, česká republika","Plzeň, Truhlářská 12, BD, Česká republika",2025-09-05,2025-09-05,-241,Po termínu,červená,2025-09-05 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",318,2023,,,,Plzeňský,"ASTIP STRONG 60kVA/7,5kVA/3F -10 minut",,,,,,,,,,,5/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vostracký 602 641 090,"Plzeň, Truhlářská 12, BD",,,
"plzeň, univerzitní, lidl skvrňany, česká republika","Plzeň, Univerzitní, Lidl Skvrňany, Česká republika",2024-09-20,2024-09-20,-591,Po termínu,červená,2024-09-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",319,bez,,,,Plzeňský,RPO,,,,,,,,,,,20/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corradini 724 230 992,"Plzeň, Univerzitní, Lidl Skvrňany",,,
"plzeň, v hliníku 12, lvíček, česká republika","Plzeň, V Hliníku 12, Lvíček, Česká republika",2020-01-20,,,Bez termínu,šedá,2020-01-20 (nezjištěno),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,231,2016,,,,Plzeňský,Astip PS 3000/1f-30 minut,"Plzeň, V Hliníku 12, Lvíček",,20/20,,,,,,,,,,,,,"jiný majitel,servisuje někdo jiný",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"plzeň, v hliníku 1318/12, dětský svět lvíček, česká republika","Plzeň, V Hliníku 1318/12, dětský svět Lvíček, Česká republika",2024-11-20,2024-11-20,-530,Po termínu,červená,2024-11-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",320,2016,,,,Plzeňský,  PS 3kVA/1f-30 minut,,,,,,,,,,,,,20/24,,,3.3.2025 -poslán mail Kojanovi i s nabídkou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Milan Kojan 604 816 120,"Plzeň, V Hliníku 1318/12, dětský svět Lvíček",,,
"plzeň, workpress aviation, česká republika","Plzeň, Workpress Aviation, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",321,2016,ano,,,Plzeňský,STRONG 3000/3f-60 min,,,,,,,,,,,,,,12,,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Plzeň, Workpress Aviation",,,
"plzeň, řenče, sportovní hala, česká republika","Plzeň, Řenče, sportovní hala, Česká republika",2024-11-21,2024-11-21,-529,Po termínu,červená,2024-11-21 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",313,2020,,,,Plzeňský,ASTIP STRONG 1 kVA/3F -30 minut,,,,,,,,,,,,,21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,správce 606 526 700,"Plzeň, Řenče - sportovní hala",,,
"poděbrady, lázeňská 5, hotel & spa chariclea, česká republika","Poděbrady, Lázeňská 5, Hotel & Spa Chariclea, Česká republika",2025-05-29,2025-05-29,-340,Po termínu,červená,2025-05-29 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,232,2022,,,Bc. Vojta 603 488 666,Středočeský,ASTIP LIFTBACK 50kVA/20kVA/3F -30 minut,"Poděbrady,  Lázeňská 5, Hotel & Spa Chariclea",,,,,,29/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"poděbrady, nám. jiřího 39/1, hotel libenský, česká republika","Poděbrady, nám. Jiřího 39/1, Hotel Libenský, Česká republika",2026-03-26,2026-03-26,-39,Po termínu,červená,2026-03-26 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,233,2015,,,Berger 724 172 331,Středočeský,2 x ASTIP PS 10kVA/3F-45 minut,"Poděbrady, nám. Jiřího 39/1, Hotel Libenský",,,,26/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"poděbrady, tyršova 1359, dps luxor, česká republika","Poděbrady, Tyršova 1359, DPS Luxor, Česká republika",2026-02-26,2026-08-26,114,Více než 60 dnů,zelená,2026-02-26 (proběhlá); 2026-08-26 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,234,2021,,,paní Hladká 607 520 135,Středočeský,ASTIP PS 15kVA/3F-45 minut,"Poděbrady, Tyršova 1359, DPS Luxor",,,26/26,,,,,,26/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"poděbrady, za nádražím 58, bd, česká republika","Poděbrady, Za nádražím 58, BD, Česká republika",,2026-11-11,191,Více než 60 dnů,zelená,2026-11-11 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",322,2023,,,,,ASTIP STRONG 10kVA/3F -45 minut,,,,,,,,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Herčík 775 662 749,"Poděbrady, Za nádražím 58, BD",,,
"polkovice 198, farpol s.r.o, česká republika","Polkovice 198, Farpol s.r.o, Česká republika",,2027-03-10,310,Více než 60 dnů,zelená,2027-03-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",323,2019,,,,Olomoucký,STRONG 1500/1F -30 min.,,,,,10/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Petr Hlavinka
+420 736 645 793","Polkovice 198, Farpol s.r.o",,,
"polná okr. jihlava, malá cihelna, penny, česká republika","Polná okr. Jihlava, Malá cihelna, PENNY, Česká republika",2024-03-21,2024-09-21,-590,Po termínu,červená,2024-03-21 (proběhlá); 2024-09-21 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,235,2023,,,Kundrát 602 174 589,Vysočina,ASTIP STRONG 33kVA/3kVA/3F-30 minut,"Polná okr. Jihlava, Malá cihelna, PENNY",,,,21/24,,,,,,21/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"pomezí nad ohří 55, casino, česká republika","Pomezí nad Ohří 55, Casino, Česká republika",,2027-04-15,346,Více než 60 dnů,zelená,2027-04-15 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",324,2023,,,,,"ASTIP STRONG 30/10kVA/3F-30,45 minut",,,,,,15/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Kontaktní osoba: Tomáš Vafek, mob.774 423 646","Pomezí nad Ohří 55 , Casino",,,
"poprad, slovenského odboja, karpatská rezidence, slovensko","Poprad, Slovenského odboja, Karpatská rezidence, Slovensko",,2027-03-20,320,Více než 60 dnů,zelená,2027-03-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",326,2023,ano,ano,,Slovensko,ASTIP STRONG LIFTBACK 100kVA/3F -45 minut,,,,,20/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ivana Gräczer +421 2 436 300 44,"Poprad, Slovenského odboja, Karpatská rezidence",,,
"povážská bystrica, mpark, slovensko","Povážská Bystrica, Mpark, Slovensko",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",328,2014,,,,Slovensko,  PS 3500/3f-60 minut,,,,,,,,,,"MOB, SS",,16-SS,,,,26.6.2024- poslán dotaz panu Folvarčíkovi i s nabídkou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Povážská Bystrica, Mpark",,,
"poříčí nad sázavou, parc. č. 190-71, hala h1 + h2, česká republika","Poříčí nad Sázavou, parc. č. 190-71, hala H1 + H2, Česká republika",,2027-04-08,339,Více než 60 dnů,zelená,2027-04-08 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",327,2025,,ano,,,ASTIP STRONG 1500VA + 2000VA,,,,,,8/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Radek Havlík, mob.: 602 297 255","Poříčí nad Sázavou, parc. č. 190-71, hala H1 + H2",,,
"praha 10, bd u hranic, česká republika","Praha 10, BD u Hranic, Česká republika",2023-03-29,,,Bez termínu,šedá,2023-03-29 (nezjištěno),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",329,2017,ano,ano,,Praha,PS LiftBack 75 kVA/3F -60 minut,,,,,29/23,,,,,,,,,,,tak je zprovozněno jinou firmou…..nabízím mu aspoň servis 4.3.2025 -poslán dotaz gregarovi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Dvořák  731 121 070 ,"Praha 10, BD u Hranic",,,
"praha 10, ramonova 3466, bd hagibor, česká republika","Praha 10, Ramonova 3466, BD Hagibor, Česká republika",,2027-04-09,340,Více než 60 dnů,zelená,2027-04-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",330,2022,ano,ano,,Praha,ASTIP STRONG 150kVA/3F -60 minut,,,,,,9/27,,,,,,,,,,hlídáme taky revize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Gregar 777 327 401,"Praha 10, Ramonova 3466, BD Hagibor",,,
"praha, 17. listopadu 2/2, úmprum, česká republika","Praha, 17. Listopadu 2/2, ÚMPRUM, Česká republika",2026-04-09,2026-04-09,-25,Po termínu,červená,2026-04-09 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,236,2017,,,Lewinger 771 517 505,Praha,ELSTON STRONG 500/1F/4C/1H,"Praha, 17. Listopadu 2_2, ÚMPRUM",,,,,9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"praha, akáciová 2, bd, česká republika","Praha, Akáciová 2, BD, Česká republika",,2026-06-25,52,30–60 dnů,žlutá,2026-06-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",331,2024,,,,Praha,ASTIP STRONG 2000VA/1F-45 minut,,,,,,,,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Janeček 736 611 796,"Praha, Akáciová 2, BD",,,
"praha, anny čížkové, bd, česká republika","Praha, Anny Čížkové, BD, Česká republika",2026-04-14,2026-04-14,-20,Po termínu,červená,2026-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",332,2022,,,,Praha,ASTIP STRONG 10kVA/3kVA/3F -10 minut,,,,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Nikola Pajerová 777 355 757,"Praha, Anny Čížkové, BD",,,
"praha, baarové 1, kaskády barrandov, česká republika","Praha, Baarové 1, Kaskády Barrandov, Česká republika",,2026-12-10,220,Více než 60 dnů,zelená,2026-12-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",333,2023,,poznámka,,Praha,ASTIP STRONG 104kVA/10kVA/3F -45 minut,,,,,,,,,,,,,,10/26,,"původně měli ve správě uldrich, k 31.5.2026, ukončili smlouvu o kontrolní činnosti…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Praha, Baarové 1, Kaskády Barrandov",,,
"praha, belgická 10, city bell, česká republika","Praha, Belgická 10, CITY BELL, Česká republika",2025-07-07,,,Bez termínu,šedá,2025-07-07 (nezjištěno),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,238,2020.2019,ano,,Huňáček 777 73 61 25,Praha,STRONG 4kVA +PS 10 kVA,"Praha, Belgická 10, CITY BELL",,,,,,,,7/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"praha, bolevecká 474, česká republika","Praha, Bolevecká 474, Česká republika",,2027-02-26,298,Více než 60 dnů,zelená,2027-02-26 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",336,2017,,,,Praha,ASTIP PS 15kVA/3F -45 minut,,,,26/27,,,,,,,,,,,,"2026-pozor, střídač se nevyměnil, zákazní myslí, že ano…držíme tedy 2 roky záruku…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Kop 734 767 594,"Praha, Bolevecká 474",,,
"praha, branická 65/46, dps, česká republika","Praha, Branická 65/46, DPS, Česká republika",2026-01-22,2026-07-22,79,Více než 60 dnů,zelená,2026-01-22 (proběhlá); 2026-07-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,241,2022,,,Martin Svoboda 778 888 373,Praha,ASTIP PS 15kVA/3F-45 minut,"Praha, Branická 65/46, DPS",,22/26,,,,,,22/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
