Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na,GPS_status,Adresa_GPS_původní
"opava, purkyňova 12, foliovník, česká republika","Opava, Purkyňova 12, foliovník, Česká republika",2024-06-26,,,Bez termínu,šedá,2024-06-26 (nezjištěno),49.93011,17.88032,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",271,2015,,,,Moravskoslezský,ASTIP PS 6000VA/3F-8 hodin,,,,,,,,26/24,,,,,,,,"2025 -uháním znovu, tak nakonec si vyměnili jednu baterii a prý funguje, uháním je tedy aspoň o revizi.…. 2024 - posílám jim CN na výměnu aku, nový zdroj pro ně byl moc drahý",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bc. Hřivňák 739 075 605,"Opava, Purkyňova 12, foliovník",,,,OK Mapy.com,"Opava, Purkyňova 12, foliovník, Česká republika"
"opava, rolnická 24, česká republika","Opava, Rolnická 24, Česká republika",2026-02-18,2026-08-18,106.0,Více než 60 dnů,zelená,2026-02-18 (proběhlá); 2026-08-18 (plánovaná),49.94603,17.91177,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,200,2017,ano,ano,Filip Křenek  777 076 223,Moravskoslezský,PS 25 000/3F -45 minut,"Opava, Rolnická 24",,,18/26,,,,,,18/26,,,,,,servisní smlouva - DODRŽET TERMÍN !!! (vždy 14. +-7dní) (chybí hodiny),9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Opava, Rolnická 24, Česká republika"
"opava, rolnická 29 senior centrum, česká republika","Rolnická 29 Senior centrum, Opava, Česká republika",2025-09-04,2026-03-04,-61.0,Po termínu,červená,2025-09-04 (proběhlá); 2026-03-04 (plánovaná),,,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,Kalendář FZ - 6 měsíců.xlsx,201,2018,ano,,Jedlička  775 888 387,Moravskoslezský,PS 15 000/3F -45 minut,"Opava, Rolnická 29 Senior centrum",,,,4/26,,,,,,4/25,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,upraveno - znovu geokódovat,"Opava, Rolnická 29 Senior centrum, Česká republika"
"opava, rooseveltova 43, 45, dps, česká republika","DPS, Rooseveltova 43, Opava, Česká republika",2026-03-27,2026-09-27,146.0,Více než 60 dnů,zelená,2026-03-27 (proběhlá); 2026-09-27 (plánovaná),49.98735,14.62274,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,Kalendář FZ - 6 měsíců.xlsx,202,2020.2021,,,Krabicová 608 424 542,Moravskoslezský,"2 x PS 10kVA/3F -45 minut LIFEPO, STRONG 3kVA/3F -45,60 minut","Opava, Rooseveltova 43,45, DPS",,,,27/26,,,,,,27/26,,,,,Domov Svaté Zdislavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,upraveno - znovu geokódovat,"Opava, Rooseveltova 43, 45, DPS, Česká republika"
"opava, suché lazce, přerovecká304/2a, rkl, česká republika","Opava, Suché Lazce, Přerovecká304/2a, RKL, Česká republika",2022-11-10,2022-11-10,-1271.0,Po termínu,červená,2022-11-10 (plánovaná),49.91181,17.9865,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",272,bez,,,,Moravskoslezský,R - ZOTK 2x,,,,,,,,,,,,,10/22,,,10/21-16033101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Corradini 724 230 992,"Opava, Suché Lazce, Přerovecká304/2a,RKL",,10769,,OK Mapy.com,"Opava, Suché Lazce, Přerovecká304/2a, RKL, Česká republika"
"orlová, lutyně, kpt, jaroše 999, domov vesna, česká republika","Orlová, Lutyně, Kpt, Jaroše 999, domov Vesna, Česká republika",2025-06-19,2025-06-19,-319.0,Po termínu,červená,2025-06-19 (plánovaná),49.86877,18.43109,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,203,2018,,,Jiří Janík 778 784 764,Moravskoslezský,ASTIP Rectifier 15kVA/3F-45 minut,"Orlová - Lutyně , Kpt, Jaroše 999 , domov Vesna",,,,,,,19/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Orlová, Lutyně, Kpt, Jaroše 999, domov Vesna, Česká republika"
"osoblaha, klášterní 34, dps, česká republika","Osoblaha, Klášterní 34, DPS, Česká republika",2025-12-09,2026-06-09,36.0,30–60 dnů,žlutá,2025-12-09 (proběhlá); 2026-06-09 (plánovaná),50.27574,17.7131,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,204,2019,ano,ano,Bartoníková 732 734 711,Moravskoslezský,PS 30 000/3f/ 45min.,"Osoblaha, Klášterní 34 - DPS",,,,,,,9/26,,,,,,9/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Osoblaha, Klášterní 34, DPS, Česká republika"
"ostrava, 17. listopadu 1123/70, česká republika","Ostrava, 17. listopadu 1123/70, Česká republika",2025-10-15,2026-04-15,-19.0,Po termínu,červená,2025-10-15 (proběhlá); 2026-04-15 (plánovaná),49.83593,18.16788,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,205,2021,,,pan Chlebek 737 249 870,Moravskoslezský,ASTIP STRONG 30kVA/20kVA/3F-45 min,"Ostrava, 17. listopadu 1123/70",,,,,15/26,,,,,,15/25,,,,SŠ profesora Zdeňka Matějíčka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Ostrava, 17. listopadu 1123/70, Česká republika"
"ostrava, 28. října, red house, česká republika","RED HOUSE, 28. října, Ostrava, Česká republika",2026-04-14,2026-10-14,163.0,Více než 60 dnů,zelená,2026-04-14 (proběhlá); 2026-10-14 (plánovaná),49.82934,18.26593,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,Kalendář FZ - 6 měsíců.xlsx,206,2018,ano,ano,Loska 608 739 936,Moravskoslezský,ASTIP PS 100 000VA/3f,"Ostrava, 28. října, RED HOUSE",,,,,14/26,,,,,,14/26,,,,"12.3.2025 - posílám opět dotaz na Losku 17.6.2024 -zdroj je tam stále nefunkční, posílám jim nabídku po slevě…na pana Losku",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,upraveno - znovu geokódovat,"Ostrava, 28. října, RED HOUSE, Česká republika"
"ostrava, bartovická 12, česká republika","Ostrava, Bartovická 12, Česká republika",2023-10-17,,,Bez termínu,šedá,2023-10-17 (nezjištěno),49.79967,18.34738,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,207,2018,,,Peška 722 987 839,Moravskoslezský,ASTIP STRONG 3000/3f-30 minut,"Ostrava, Bartovická 12",,,,,,,,,,,17/23,,,,3.7.2024 - takže baterky si měnili sami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Ostrava, Bartovická 12, Česká republika"
"ostrava, gregorová 3, česká republika","Ostrava, Gregorová 3, Česká republika",2022-10-20,2022-10-20,-1292.0,Po termínu,červená,2022-10-20 (plánovaná),49.84186,18.2887,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,208,2011,,,pan Novák 724 437 111,Moravskoslezský,ASTIP PS 3600/3F -35 minut,"Ostrava, Gregorová 3",,,,,,,,,,,20/22,,,,12.3.2025 -poslán dotaz ..18.6.2024 - jsme domluveni a pošleme aktualizci cenovky …,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Ostrava, Gregorová 3, Česká republika"
"ostrava, havlíčkovo nábř. 34, krajský soud, česká republika","Ostrava, Havlíčkovo nábř. 34, krajský soud, Česká republika",2026-04-14,2026-10-14,163.0,Více než 60 dnů,zelená,2026-04-14 (proběhlá); 2026-10-14 (plánovaná),49.83869,18.29412,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,209,"2018, 2019",,,"Rabiec, 601 358 113",Moravskoslezský,"PS 15 000/3f - 30min., ASTIP PS 10 000/3f – 45 min","Ostrava, Havlíčkovo nábř. 34, krajský soud ",,,,,14/26,,,,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Ostrava, Havlíčkovo nábř. 34, krajský soud, Česká republika"
"ostrava, hornopolní 34, global electric, orchard, česká republika","Global electric, ORCHARD, Hornopolní 34, Ostrava, Česká republika",,2027-03-05,305.0,Více než 60 dnů,zelená,2027-03-05 (plánovaná),49.841,18.2715,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",273,2016,,,,Moravskoslezský,PS 30kVA/3F-45minut,,,,,5/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"p. Skalka, 731 113 354","Ostrava, Hornopolní 34, Global electric, ORCHARD",,,,upraveno - znovu geokódovat,"Ostrava, Hornopolní 34, Global electric, ORCHARD, Česká republika"
"ostrava, mjr. nováka 34, čmeláček, česká republika","Ostrava, Mjr. Nováka 34, Čmeláček, Česká republika",2026-02-17,2026-08-17,105.0,Více než 60 dnů,zelená,2026-02-17 (proběhlá); 2026-08-17 (plánovaná),49.78041,18.26693,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,210,2018,,,Holková - 607 057 824,Moravskoslezský,PS 10 000/3f - 45min.,"Ostrava, Mjr. Nováka 34, Čmeláček",,,17/26,,,,,,17/26,,,,,,Čmeláček,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Ostrava, Mjr. Nováka 34, Čmeláček, Česká republika"
"ostrava, reální 5, filozofická fakulta, česká republika","Ostrava, Reální 5, filozofická fakulta, Česká republika",,2026-11-04,184.0,Více než 60 dnů,zelená,2026-11-04 (plánovaná),49.83638,18.29008,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",274,2019,ano,,,Moravskoslezský,ASTIP PS LIFTBACK 30kVA/15kVA/3F -45 minut,,,,,,,,,,,,,4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Jakub Vaško 734 797 496,"Ostrava, Reální 5, filozofická fakulta",,,,OK Mapy.com,"Ostrava, Reální 5, filozofická fakulta, Česká republika"
"ostrava, rolnická 55/360, siloe, česká republika","Ostrava, Rolnická 55/360, SILOE, Česká republika",2026-04-14,2026-10-14,163.0,Více než 60 dnů,zelená,2026-04-14 (proběhlá); 2026-10-14 (plánovaná),49.82511,18.22808,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,211,2020,ano,,Raszková 733 142 425,Moravskoslezský,PS 30kVA/3F -45 minut,"Ostrava, Rolnická 55/360, SILOE",,,,,14/26,,,,,,14/26,,,,"2024 -vytopený zdroj, už řešíme ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Ostrava, Rolnická 55/360, SILOE, Česká republika"
"ostrava, spojovací 396, géčko, česká republika","Ostrava, Spojovací 396, Géčko, Česká republika",2025-11-04,2026-05-04,0.0,Méně než 7 dnů,červená,2025-11-04 (proběhlá); 2026-05-04 (plánovaná),49.84902,18.14562,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,212,2018,,,Krejčiřík - 602 273 483,Moravskoslezský,PS 30 000/3f/ 45min,"Ostrava, Spojovací 396, Géčko",,,,,,4/26,,,,,,4/25,,,Géčko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Ostrava, Spojovací 396, Géčko, Česká republika"
"ostrava, závodní 86, ridera, česká republika","Ostrava, Závodní 86, Ridera, Česká republika",,2026-11-27,207.0,Více než 60 dnů,zelená,2026-11-27 (plánovaná),49.80386,18.25825,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",275,2016,,,,Moravskoslezský,PBZ 3kVA/1F -10 minut,,,,,,,,,,,,,27/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Juchelka 739 246 610,"Ostrava, Závodní 86, Ridera",,,,OK Mapy.com,"Ostrava, Závodní 86, Ridera, Česká republika"
"otice, rybníčky 338, semix, česká republika","Otice, Rybníčky 338, SEMIX, Česká republika",2025-11-26,2026-05-26,22.0,7–30 dnů,oranžová,2025-11-26 (proběhlá); 2026-05-26 (plánovaná),49.90403,17.88222,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,213,"2019, 2022",,,Gališ 773 943 004,Moravskoslezský,2 x STRONG 1500/3F -30minut,"Otice, Rybníčky 338, SEMIX",,,,,,26/26,,,,,,26/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Otice, Rybníčky 338, SEMIX, Česká republika"
"otrokovice, barum, objízdná 1628, česká republika","Otrokovice, Barum, Objízdná 1628, Česká republika",2022-05-26,2022-05-26,-1439.0,Po termínu,červená,2022-05-26 (plánovaná),49.20022,17.52628,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",276,bez,,,,Zlínský,"ASTIP R – SOZ, Výrobní číslo: 17011901",,,,,,,26/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Otrokovice, Barum,Objízdná 1628",,,,OK Mapy.com,"Otrokovice, Barum, Objízdná 1628, Česká republika"
"otrokovice, moravní, česká republika","Otrokovice, Moravní, Česká republika",2021-03-24,2021-03-24,-1867.0,Po termínu,červená,2021-03-24 (plánovaná),49.21287,17.51254,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",277,bez,,,,Zlínský,"R-SOZ 1 - 4, R-SOZ 5 - 8",,,,,24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Otrokovice, Moravní",,,,OK Mapy.com,"Otrokovice, Moravní, Česká republika"
"otrokovice, nám. 3. května, česká republika","Otrokovice, nám. 3. května, Česká republika",2023-02-28,,,Bez termínu,šedá,2023-02-28 (nezjištěno),49.20898,17.53491,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,214,2017,,,,Zlínský,ASTIP PS 5000/3f-30 minut + RPO,"Otrokovice, nám. 3. května",,,28/23,,,,,,,,,,,,"2025 -konec zdroje -13.3.2025 - šel mail na bezruče, 13.2.2024 - šla aktualizovaná nabídka na výměnu aku ...ATRUIM, 27.5.2019 -šla jim nabídka na výměnu baterií",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,OK Mapy.com,"Otrokovice, nám. 3. května, Česká republika"
"otrokovice, sportovní hala, česká republika","Otrokovice, sportovní hala, Česká republika",2025-11-28,2026-05-28,24.0,7–30 dnů,oranžová,2025-11-28 (proběhlá); 2026-05-28 (plánovaná),49.22001,17.50916,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,215,2018,,,Colt Bezruč ,Zlínský,ASTIP PS 15 kVA/3F - 15 minut,"Otrokovice, sportovní hala",,,,,,28/26,,,,,,28/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Otrokovice, sportovní hala, Česká republika"
"pacov, malovcova 1080, česká republika","Pacov, Malovcova 1080, Česká republika",2026-02-10,2026-08-10,98.0,Více než 60 dnů,zelená,2026-02-10 (proběhlá); 2026-08-10 (plánovaná),49.47272,14.99766,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,216,2018,,ano,"Míla Daněk  +420 725708563
provoz@dssp.cz
",Vysočina,ASTIP STRONG 10 000/3f-30 min,"Pacov, Malovcova 1080",,,10/26,,,,,,10/26,,,,,,HLÍDAT SAMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Pacov, Malovcova 1080, Česká republika"
"pacov, žižkova 894, albert, česká republika","Pacov, Žižkova 894, Albert, Česká republika",2024-10-15,2025-04-15,-384.0,Po termínu,červená,2024-10-15 (proběhlá); 2025-04-15 (plánovaná),49.4703,15.00267,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,217,2019,,,Corradini - Mercor,Vysočina,ASTIP PS 40kVA/3f-15 minut + RPO,"Pacov, Žižkova 894, Albert",,,,,15/25,,,,,,15/24,,,,datumově sjednotit pak kontrolu RPO se zdrojem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Pacov, Žižkova 894, Albert, Česká republika"
"pardubice, chrudimská 2830, casino go4games, česká republika","Pardubice, Chrudimská 2830, casino GO4games, Česká republika",2026-02-16,2026-08-16,104.0,Více než 60 dnů,zelená,2026-02-16 (proběhlá); 2026-08-16 (plánovaná),50.01368,15.77153,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,218,2023,,,Nesvadba 724 055 658,Pardubický,ASTIP STRONG 134kVA/30kVA/3F-30 minut,"Pardubice, Chrudimská 2830, casino GO4games",,,16/26,,,,,,16/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Pardubice, Chrudimská 2830, casino GO4games, Česká republika"
"pardubice, dašická, sportovní hala, česká republika","Pardubice, Dašická, Sportovní hala, Česká republika",2024-04-22,2024-04-22,-742.0,Po termínu,červená,2024-04-22 (plánovaná),50.03587,15.78856,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",278,2016,,,,Pardubický,PS 20kVA/3f 30min.,,,,,,22/24,,,,,,,,,,28.2.2025 -posílám na burian.ludek@gypce.cz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Špička - 739 028 138,"Pardubice, Dašická, Sportovní hala",,,,OK Mapy.com,"Pardubice, Dašická, Sportovní hala, Česká republika"
"pardubice, husova 1951, v-podlahy, česká republika","Pardubice, Husova 1951, v-podlahy, Česká republika",2026-04-29,2026-04-29,-5.0,Po termínu,červená,2026-04-29 (plánovaná),50.04491,15.80149,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",279,2019,,,,Pardubický,STRONG 1000/1f 30M,,,,,,29/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bučilová - 724 848 905,"Pardubice, Husova 1951, v-podlahy",,,,OK Mapy.com,"Pardubice, Husova 1951, v-podlahy, Česká republika"
"pardubice, na drážce 1568, česká republika","Pardubice, Na Drážce 1568, Česká republika",,2026-10-02,151.0,Více než 60 dnů,zelená,2026-10-02 (plánovaná),50.03635,15.79692,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",280,2018,,,,Pardubický,  PS 10kVA/3f-45 minut,,,,,,,,,,,,2/26,,,,"22.1.2021 -ok vyměněno,14.1.2021- nutná výměna střídače v záruce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hanousek - 723 955 312,"Pardubice, Na Drážce 1568",,,,OK Mapy.com,"Pardubice, Na Drážce 1568, Česká republika"
"pardubice, na spravedlnosti 2919, bd babylon, česká republika","BD Babylon, Na Spravedlnosti 2919, Pardubice, Česká republika",,2026-09-12,131.0,Více než 60 dnů,zelená,2026-09-12 (plánovaná),50.02901,15.77675,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",281,2020,,,,Pardubický,ASTIP PS 30kVA/3F -60 minut,,,,,,,,,,,12/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Pavel Janeček,  736 611 796","Pardubice, Na Spravedlnosti 2919, BD Babylon",,,,upraveno - znovu geokódovat,"Pardubice, Na Spravedlnosti 2919, BD Babylon, Česká republika"
"pardubice, nádražní 641, bd, česká republika","BD, Nádražní 641, Pardubice, Česká republika",,2026-05-29,25.0,7–30 dnů,oranžová,2026-05-29 (plánovaná),49.01318,14.76017,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",282,2019,,,,Pardubický,STRONG 3000VA/3F -10 minut,,,,,,,29/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"JHV, Kábele 778 769 779","Pardubice, Nádražní 641, BD",,,,upraveno - znovu geokódovat,"Pardubice, Nádražní 641, BD, Česká republika"
"pardubice, ohrazenice, u sportovní školy 374, 375, 376, bd, česká republika","Ohrazenice, BD, U sportovní školy 374, Pardubice, Česká republika",,2026-11-11,191.0,Více než 60 dnů,zelená,2026-11-11 (plánovaná),50.06255,15.7573,Adresa automaticky upravena pro Mapy.com; spusť znovu geokodér.,"Kalendář FZ - 12 měsíců, 2023.xlsx",285,2023,,,,Pardubický,"2 x STRONG 7,5kVA + 4 kVA",,,,,,,,,,,,,11/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Bittner 604 937 764,"Pardubice, Ohrazenice, U sportovní školy 374,375,376, BD",,,,upraveno - znovu geokódovat,"Pardubice, Ohrazenice, U sportovní školy 374, 375, 376, BD, Česká republika"
"pardubice, pod vinici 2846 +2848, zelené předměstí, česká republika","Pardubice, Pod Vinici 2846 +2848, Zelené Předměstí, Česká republika",2025-08-28,2027-02-24,296.0,Více než 60 dnů,zelená,2025-08-28 (plánovaná); 2027-02-24 (plánovaná),50.02685,15.78024,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",283,"2018, 2020",ano,,,Pardubický,"PS 75 000/3f, STRONG 4kVA/3F -60 minut",,,,24/27 75kVA,,,,,,28/25-4kVA,,,,,,"4kv - nechtějí od nás opravu, tedy skončeno…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Rejman - 737 215 130,"Pardubice, Pod Vinici 2846 +2848 , Zelené Předměstí",,,,OK Mapy.com,"Pardubice, Pod Vinici 2846 +2848, Zelené Předměstí, Česká republika"
"pardubice, studentská 201, univerzita, česká republika","Pardubice, Studentská 201, univerzita, Česká republika",2026-03-05,2026-09-05,124.0,Více než 60 dnů,zelená,2026-03-05 (proběhlá); 2026-09-05 (plánovaná),50.04892,15.76744,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,219,2017,,,pan Svatoň 702 256 317,Pardubický,PS 7500/3f - 30 min.,"Pardubice, Studentská 201, univerzita",,,,5/26,,,,,,5/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,OK Mapy.com,"Pardubice, Studentská 201, univerzita, Česká republika"
